timestamp,topic,payload
1773605640.539548,sensors/data,pico_w_iot 26
1773605641.054767,sensors/data,pico_w_iot 27
1773605641.6657453,sensors/data,pico_w_iot 28
1773605642.1757715,sensors/data,pico_w_iot 29
1773605642.7004778,sensors/data,pico_w_iot 30
1773605643.213898,sensors/data,pico_w_iot 31
1773605643.8123136,sensors/data,pico_w_iot 32
1773605644.324264,sensors/data,pico_w_iot 33
1773605644.8378484,sensors/data,pico_w_iot 34
1773605645.4468536,sensors/data,pico_w_iot 35
1773605645.9781766,sensors/data,pico_w_iot 36
1773605646.47529,sensors/data,pico_w_iot 37
1773605646.9805584,sensors/data,pico_w_iot 38
1773605647.762096,sensors/data,pico_w_iot 39
1773605648.8248467,sensors/data,pico_w_iot 41
1773605649.338686,sensors/data,pico_w_iot 42
1773605649.8362968,sensors/data,pico_w_iot 43
1773605650.488804,sensors/data,pico_w_iot 44
1773605651.071205,sensors/data,pico_w_iot 45
1773605651.6908119,sensors/data,pico_w_iot 46
1773605652.2026255,sensors/data,pico_w_iot 47
1773605652.7015455,sensors/data,pico_w_iot 48
1773605653.3377163,sensors/data,pico_w_iot 49
1773605653.9324665,sensors/data,pico_w_iot 50
1773605654.3663135,sensors/data,pico_w_iot 40
